question,ground_truth
What documents and verification steps are required during the online alumni registration process?,"The online alumni registration process begins with identity verification using the alumnus's Admission Number and Date of Birth. After verification, the applicant must complete the online registration form with personal, academic, and professional information. A recent photograph in JPG or PNG format with a maximum file size of 2 MB must be uploaded. If the school does not already possess proof of graduation, the alumnus must also upload supporting documents such as a mark sheet or Transfer Certificate. After all required documents are uploaded and the membership fee is paid through an approved online payment method, the registration is processed and an Alumni ID is issued through a confirmation email within three working days."
"What are the key features of the cafeteria at ABC International School, Powai?","The cafeteria at ABC International School, known as ABC Nourish Hub – The School Cafeteria, is located on the Ground Floor of Block A in the main school building. It serves approximately 2,800 students and more than 180 teaching and non-teaching staff through a fully managed in-house food service. The cafeteria has a seating capacity of 320 students at a time and covers approximately 4,200 square feet, including the kitchen, serving area, and seating space. It operates on all school working days from Monday to Friday and follows a hybrid management model in partnership with an FSSAI-licensed catering provider, Annapoorna Food Services Pvt. Ltd., Mumbai. The cafeteria is supervised by a designated canteen manager and a qualified health supervisor to ensure food safety, hygiene, and nutritional standards. "
What are the cafeteria operating hours and meal schedules for different student groups?,"The cafeteria follows a structured daily meal schedule to accommodate different age groups. An Early Bird Breakfast Counter operates from 7:30 AM to 8:00 AM for pre-enrolled students. Snack breaks are scheduled separately, with Pre-Primary and Primary students (Grades 1–5) having their break from 10:00 AM to 10:20 AM, Middle School students (Grades 6–8) from 10:30 AM to 10:50 AM, and Senior School students (Grades 9–12) from 11:00 AM to 11:20 AM. Lunch is served to Pre-Primary students between 12:30 PM and 1:00 PM, Primary students from 1:00 PM to 1:40 PM, and Middle and Senior School students from 1:40 PM to 2:10 PM. An additional Evening Snack Counter is available for extended-day students from 3:30 PM to 4:00 PM. "
What food procurement and food safety policies are followed by the school cafeteria?,"The cafeteria follows strict food procurement and safety standards to ensure the quality of meals served to students and staff. All raw materials and packaged food products are purchased exclusively from FSSAI-registered suppliers. Fresh perishable items, including dairy products, vegetables, and other ingredients, are procured daily to maintain freshness and quality. The cafeteria maintains a 72-hour emergency stock of non-perishable food items to support uninterrupted operations during emergencies. The policy also prohibits the use of food products containing artificial trans-fats, excessive preservatives, or monosodium glutamate (MSG). Regular health audits, hygiene inspections, and compliance with food safety regulations are maintained to ensure a safe dining environment."
"Which food items are prohibited in the school cafeteria, and what type of meals does the cafeteria serve?","In accordance with CBSE nutrition guidelines and Maharashtra Government directives, the cafeteria strictly prohibits the sale or distribution of carbonated beverages, energy drinks, deep-fried packaged snacks containing more than 30% fat, chewing gum, gutka, pan masala, and food items containing artificial colours beyond permissible limits. The school operates a pure vegetarian cafeteria, and no eggs, meat, fish, poultry, or other non-vegetarian products are prepared, sold, or served within the cafeteria. These policies are designed to promote healthy eating habits and provide students with nutritious, safe, and balanced meals."
What conduct rules must students and staff follow while using the cafeteria?,"All students, staff members, and cafeteria personnel are expected to maintain cleanliness, discipline, and respectful behaviour within the cafeteria premises. Queue-jumping, littering, and unnecessary wastage of food are strictly prohibited. Meals should only be consumed within the designated cafeteria area or approved outdoor seating zones. Everyone using the cafeteria is expected to follow hygiene practices, dispose of waste responsibly, and cooperate with cafeteria staff to maintain an orderly and safe dining environment. These rules help ensure that the cafeteria remains clean, efficient, and comfortable for all members of the school community."
"What is the academic term structure for Academic Year 2025–26 at ABC International School, Powai?","The Academic Year 2025–26 is divided into three academic terms. Term 1 runs from 10 June 2025 to 30 September 2025 and consists of 84 working days, focusing on foundation units, Formative Assessment 1 (FA-1), and the Mid-Term Summative Assessment (SA-1). Term 2 extends from 20 October 2025 to 31 January 2026, comprising 78 working days dedicated to advanced curriculum units, Formative Assessment 2 (FA-2), and winter examinations. Term 3 runs from 2 February 2026 to 30 April 2026 with 56 working days, emphasizing revision, pre-board examinations, and the final Summative Assessment (SA-2) or Board Examinations. The academic calendar spans from June 2025 to April 2026 with a total of 218 working days, supporting the CBSE requirement of approximately 220 instructional days."
What are the major academic events scheduled during Academic Year 2025–26?,"The academic calendar includes several important events throughout the year. The school reopens on 10 June 2025 with Orientation Day, followed by baseline assessments from 16 June to 20 June. Formative Assessment 1 (FA-1) is conducted from 14 July to 19 July, while the Science Exhibition and Project Fair takes place from 18 August to 22 August for Grades 6–12. Mid-Term (SA-1) examinations are scheduled from 1 September to 12 September, and report cards are distributed on 27 September. Term 2 begins on 4 November 2025, followed by FA-2 during 17 November to 21 November. Annual Day is celebrated on 6 December, while Pre-Board Examinations for Grades 10 and 12 are held from 2 February to 13 February 2026. SA-2 examinations for Grades 3–9 and 11 are conducted from 16 February to 27 February, CBSE Board Examinations begin on 5 March 2026, annual report cards for Grades 3–9 are issued on 31 March, practical examinations take place between 1 April and 15 April, and the academic year concludes on 30 April 2026."
What vacation and holiday schedule is followed during Academic Year 2025–26?,"The school follows a structured holiday calendar throughout the academic year. The Summer Break before the academic session is observed from 1 June to 9 June 2025, during which staff development activities are conducted. The Diwali Vacation extends from 20 October to 3 November 2025 for a total of 15 days. The Christmas and New Year Break is observed from 24 December 2025 to 2 January 2026, lasting 10 days. Additional holidays include Holi on 14 March 2026, Gudi Padwa on 30 March 2026, and Ram Navami on 6 April 2026. After the academic session concludes on 30 April 2026, the annual Summer Vacation runs from 1 May to 9 June 2026, lasting 40 days."
What curriculum framework and educational philosophy does ABC International School follow?,"ABC International School follows a Competency-Based Curriculum (CBC) aligned with the National Curriculum Framework (NCF) 2023 and CBSE guidelines. The curriculum integrates IB-inspired inquiry-based learning, Design Thinking, and STEAM education to encourage conceptual understanding, critical thinking, creativity, collaboration, and real-world problem-solving skills. The school offers CBSE education from Pre-Primary through Grade XII, while students in Grades 9 and 10 also have the option to pursue the Cambridge IGCSE curriculum as a parallel academic pathway. This curriculum framework supports holistic student development while maintaining alignment with national educational standards."
How is the academic programme structured across different educational stages at ABC International School?,"The academic programme is designed according to the developmental needs of different age groups. Pre-Primary students follow an activity-based programme based on NCF 2023, focusing on numeracy, literacy, environmental studies, arts, and physical education for approximately 25 instructional hours per week. Primary students (Grades 1–5) study English, Hindi, Mathematics, Environmental Studies, Computer Science, Art, and Physical Education with approximately 35 hours of instruction each week. Middle School students (Grades 6–8) continue with English, Hindi or Marathi, Mathematics, Science, Social Science, Information Technology, and Physical Education for approximately 40 hours per week. Secondary students (Grades 9–10) follow the CBSE curriculum with an optional Cambridge IGCSE pathway, studying core academic subjects for approximately 42 instructional hours per week, ensuring progressive academic development from foundational learning through secondary education"
What is the purpose of the Complaint Escalation Matrix adopted by ABC International School?,"The Complaint Escalation Matrix was adopted as the official framework for handling formal complaints at ABC International School. Its purpose is to establish a structured authority hierarchy, ensure accountability in complaint handling, provide stakeholders with clear resolution timelines, and implement a multi-level escalation process that guarantees fair and timely outcomes. The Board of Governors formally approved the ""Complaint Escalation Matrix and Authority Hierarchy"" as the official complaint-handling framework for the institution"
What is the complaint escalation hierarchy for different types of complaints at ABC International School?,"The Complaint Escalation Matrix defines different authority levels based on the nature of the complaint. Academic complaints related to teaching, curriculum, or marks are first handled by the Class Teacher, then escalated to the Head of Department, and finally to the Principal. Administrative complaints involving transport, canteen, or fees are handled by the Admin Manager, followed by the Operations Director, and finally the Principal. Behavioural complaints such as discipline or bullying are managed by the Section Coordinator, then the Vice-Principal, and finally the Principal. Safety-related complaints involving infrastructure, laboratories, or security are handled by the Safety Officer, escalated to the Admin Manager, and finally referred to the Board Trustee if necessary."
What are the official response and resolution timelines for complaint escalation?,The Complaint Escalation Policy specifies timelines for every escalation level. Level 1 complaints require an acknowledgement within 24 hours and should be resolved within 3 working days. Level 2 complaints require investigation or a meeting within 48 hours and must be resolved within 7 working days. Level 3 complaints require a formal hearing within 72 hours and should be resolved within 15 working days. Level 4 complaints require a Board review within 5 working days and should reach final resolution within 30 working days. 
What steps are followed when closing a complaint under the Complaint Closure SOP?,"The Complaint Closure Standard Operating Procedure consists of five mandatory steps. First, the resolving authority must verify the resolution with the complainant. Second, all actions taken, supporting evidence, and resolution details must be documented in the ERP Complaint Module. Third, a formal Complaint Closure Letter must be issued through email or post. Fourth, a three-question satisfaction survey is sent to the complainant after the complaint has been closed. Finally, all complaint records are moved to the ""Resolved"" archive, where they are retained for annual audit review."
What is the authority hierarchy for handling institutional complaints at ABC International School?,"The Authority Hierarchy places the Board of Governors (Chairman) as the final appellate authority for institutional-level complaints. The Principal serves as the chief executive authority for all school-level operational and academic complaints. Vice-Principals and Directors exercise delegated authority over specific departments such as Administration, Academics, and Sports. Coordinators and Heads of Department (HODs) supervise grade-wise and subject-wise matters, while staff members and officers act as the primary response level for day-to-day operational issues and initial complaint handling."
"What is the purpose of the Student Counseling Policy at ABC International School, and who is eligible to receive counseling services?","The Student Counseling Policy at ABC International School is designed to provide a structured, confidential, and student-centred framework for professional counseling services across academic, personal, social, and career domains. The policy aims to support students in managing academic stress, peer relationships, family issues, personal challenges, and career planning while promoting mental health awareness and emotional wellbeing. Counseling is a voluntary and supportive service rather than a disciplinary measure. All enrolled students from Grades 1 to 12, irrespective of whether they study under the CBSE, IGCSE, or Cambridge curriculum, are eligible to receive counseling services."
What types of counseling services are offered under the Student Counseling Policy?,"ABC International School provides a wide range of counseling services to address different student needs. These include Academic Counseling for study skills, examination anxiety, learning difficulties, and subject selection; Personal and Emotional Counseling for stress, anxiety, depression, self-esteem, identity, grief, and trauma; Social Counseling for peer conflicts, bullying, and social skill development; Career Counseling for students in Grades 8–12, including career assessments, college guidance, aptitude testing, and entrance examination preparation; Family and Systemic Support for parent-student conflicts and family transitions; and Group Counseling through structured sessions on resilience, study habits, and social skills."
Under what circumstances can information shared during a counseling session be disclosed?,"Counseling sessions at ABC International School are strictly confidential. Information shared during counseling is not disclosed to parents, teachers, or school management without the student's informed consent. However, disclosure is mandatory in specific situations, including when there is an imminent risk of suicide or serious self-harm, disclosure of current physical, sexual, or emotional abuse, a credible threat of violence toward another person, or a legal obligation under the Protection of Children from Sexual Offences (POCSO) Act, 2012, or a court order. Whenever it is safe and appropriate, the counselor informs the student before making any required disclosure and explains the reason for doing so."
How can a student book a counseling appointment at ABC International School?,"Students can book a counseling appointment through multiple methods. They may complete the online counseling request form available under the Student Support section of the school website, visit Counseling Room 201, Block B directly during break time, or request their class teacher or homeroom teacher to submit a referral on their behalf. Counseling appointments are generally scheduled within two school days. Parents may also request counseling for their child by contacting the school counselor through the official counseling email or by calling the school front office. Written parental consent is required for students in Grades 1 to 5, while for older students the counselor also seeks the student's agreement before beginning counseling sessions."
"What are the standard counseling session guidelines regarding duration, frequency, documentation, and record retention?","Individual counseling sessions generally last 45 to 50 minutes, while group counseling sessions last 60 to 75 minutes. The frequency of sessions is determined according to the student's needs and is typically weekly or fortnightly. Counseling sessions are conducted in Counseling Room 201, Block B, which is designed as a private and soundproof space. Session notes are maintained securely and are stored separately from students' academic records. Counseling records are retained for a minimum of three years after a student's graduation and are then securely destroyed according to the school's record retention policy."
"What ERP system does ABC International School use, and what are its primary features?","ABC International School, Powai uses EduNxt ERP, which is integrated with the ABC Group's centralized school management platform, as its primary Enterprise Resource Planning (ERP) system. The ERP operates in a cloud-hosted environment on the AWS Mumbai region and unifies academics, administration, finance, human resources, transport, library services, and communication within a single platform accessible through both web browsers and the ABC Connect mobile application. The system includes modules such as the Student Information System (SIS), Academic Management, Attendance Management, Fee & Finance, HR & Payroll, Transport, Library, Communication Hub, Exam & Results, and Inventory & Assets. It also provides automated nightly incremental backups, weekly full backups to Amazon S3, and maintains a monthly uptime service level agreement (SLA) of 99.5%. "
"How can staff and parents log in to the school ERP, and what support is available if they experience technical issues?","Staff members can access the ERP by visiting https://ABC.edunxt.com and logging in with their employee ID and password issued by the IT Department. Parents can access the Parent Portal through https://parent.ABC.edunxt.com using the credentials provided during the admission process. Users may also access the ERP through the ABC Connect mobile application using the same login credentials. If technical issues occur or the ERP becomes unavailable, users are advised to check the IT notice board or the staff WhatsApp group for maintenance notifications. For urgent support, they may contact the IT Helpdesk by telephone during office hours or send an email to the ERP support team. The IT & Systems Department manages all ERP access, training, and technical support."
What information and services are available through the Student Portal?,"The Student Portal is available to students from Grade 6 onwards and provides access to a wide range of academic and administrative information. Students can view their daily timetable, attendance summary, pending and completed assignments, marks, downloadable report cards, library records, school circulars, fee summaries, scheduled online assessments, Olympiad and competition registration links, and approved digital learning resources. Most sections of the portal are read-only, while assignment submission and online quizzes serve as the primary interactive features. The portal can be accessed through https://student.ABC.edunxt.com or through the Student section of the ABC Connect mobile application."
"How can a student log in to the Student Portal, and what should they do if they forget their password or encounter account issues?","Students can access the Student Portal by visiting https://student.ABC.edunxt.com. Their username is their School Admission Number, and the default password is their date of birth in DDMMYYYY format, which must be changed during the first login. If a student forgets their password, they should select the ""Forgot Password"" option on the login page, after which a one-time password (OTP) is sent to the registered mobile number. If the registered mobile number has changed, the student should contact the IT Helpdesk with their admission card for verification. Accounts are automatically locked for 30 minutes after five unsuccessful login attempts. If a student's name or date of birth is incorrect, a correction request with supporting documents must be submitted through the school office. Additionally, logging in from a new device requires OTP verification before access is granted"
"What features are available in the Parent Portal, and how can parents access it?","The Parent Portal, also known as Parent Connect, serves as the primary digital interface between parents and the school. Parents can access it through https://parent.ABC.edunxt.com or the Parent section of the ABC Connect mobile application. Login is performed using the registered mobile number or parent email ID, while passwords are provided during admission and can later be reset using OTP verification. The portal offers 24×7 access and automatically displays information for all enrolled siblings under a single login. Parents can view attendance records, academic performance, fee details, payment history, transport information, school circulars, event updates, and official communications. The portal also allows parents to download attendance reports and fee receipts, make online fee payments, and raise concerns regarding attendance records within three working days if discrepancies are identified"
"Who is eligible for career counseling at ABC International School, and what services are provided through the Career Counseling Programme?","ABC International School considers career guidance an essential part of holistic student development. Career counseling is available to all students from Grade 8 onwards, with specialized guidance provided for students in Grades 11 and 12. The programme includes individual counseling sessions to discuss interests, aptitudes, strengths, and career aspirations; monthly group career workshops covering career exploration, stream selection, college admissions, competitive examination preparation, and interview skills; aptitude and interest assessments conducted twice each year for Grades 9 and 11; access to a Career Resource Library containing information on colleges, universities, career paths, courses, and alumni success stories; and an Alumni Mentoring Programme, where former students guide current students by sharing their educational and professional experiences."
What career counseling services are available to students under the Career Guidance Programme?,"The Career Guidance Programme provides several structured services to help students make informed career decisions. Students may attend one-to-one counseling sessions with career counselors to discuss their interests, strengths, aptitudes, and career goals. The school also conducts monthly career workshops on topics such as career exploration, stream selection, college admissions, competitive examinations, and interview preparation. Students in Grades 9 and 11 participate in standardized aptitude tests and interest inventories, which are analyzed by counselors to identify suitable career pathways. In addition, students have access to the Career Resource Library, which contains information about colleges, universities, courses, professional careers, videos, online databases, and alumni success stories. An Alumni Mentoring Programme further supports students by allowing them to interact with successful alumni and learn from their professional experiences."
"What streams are available for students after Grade 10, and what are the eligibility requirements for each stream?","ABC International School offers Science, Commerce, and Arts streams for students entering Grade 11. The Science Stream includes Physics, Chemistry, Biology or Mathematics, and English as core subjects, with electives such as Computer Science, Physical Education, and Fine Arts. Students must obtain a minimum of 70% in Grade 10 and demonstrate strong performance in Science and Mathematics. The Commerce Stream includes Accountancy, Business Studies, Economics, and English, with electives such as Informatics Practices, Legal Studies, and Physical Education. Admission requires a minimum of 65% in Grade 10 and good performance in Mathematics and English. The Arts Stream includes History, Geography, Political Science or Economics, and English, with electives such as Psychology, Sociology, Philosophy, and Physical Education. Students must achieve a minimum of 60% in Grade 10 and demonstrate strength in languages and humanities subjects."
What is the stream selection process followed by ABC International School for Grade 10 students?,"The stream selection process begins in January, when Grade 10 students receive information about the available academic streams and related career opportunities. During February, students complete aptitude assessments and interest inventories, followed by individual career counseling sessions conducted in February and March. The school also organizes group workshops on stream selection and career planning during March. Parent-teacher meetings are held to discuss appropriate stream choices based on each student's academic performance, aptitude assessment results, interests, and career aspirations. Students submit their stream preference forms by the end of March, and the final stream allocation is announced in April."
What factors are considered when allocating a stream to a student after Grade 10?,"ABC International School considers multiple factors before assigning students to Science, Commerce, or Arts streams. These include the student's academic performance in Grade 10, including the minimum percentage requirements for each stream, performance in specific subjects such as Science and Mathematics for the Science stream, the results of aptitude and interest assessments, the student's career aspirations and long-term goals, the career counselor's recommendation based on the student's strengths and abilities, and parental input and family considerations. These criteria are collectively used to ensure that students are placed in the stream most appropriate to their abilities, interests, and future career objectives."
"What is the purpose of the Communication Archive maintained by ABC International School, and what period does it cover?","The Communication Archive serves as the official historical record of institutional communications issued by ABC International School. It consolidates formal school communications related to governance, policy changes, event management, emergency responses, and parent engagement. The archive covers the period from Academic Year 2018–19 to Academic Year 2024–25, representing seven academic years of records. According to the archive, it contains 42 indexed circulars, 37 announcements, and 37 formal parent communications. The archive is maintained by the Office of the Principal and Administration Department, is reviewed annually every April, and is available in both digital PDF format and physical binders stored in the Administration Office."
"Where are the official school circulars stored, and how are they organized within the Communication Archive?","The Communication Archive organizes all official school circulars sequentially by academic year, with each circular assigned a unique circular number, issue date, category, subject, issuing department, intended audience, page count, and archival status. The archive states that all original circulars are preserved in physical binders located in the Administration Office and are also available digitally through the School ERP Portal under ""Documents > Circular Archive."" This structured indexing allows historical communications to be retrieved efficiently while preserving an official institutional record."
What information is maintained for each historic circular in the Communication Archive?,"For every historic circular, the Communication Archive records detailed metadata to support document management and retrieval. Each entry includes the academic year, circular number, date of issue, category, subject or title, issuing department or authority, target audience, number of pages, and archival status. Examples of categories include Academic, Fee, Events, Examination, Holiday, Safety, Transport, Health, Policy, Emergency, and Online Learning communications issued during different academic years."
What types of institutional communications are included in the Communication Archive?,"The Communication Archive contains a broad range of official communications issued by ABC International School between Academic Years 2018–19 and 2024–25. These include academic circulars, fee notifications, transport updates, health advisories, event announcements, holiday notices, examination schedules, school policy updates, emergency communications, and online learning guidelines. The archive also includes parent communications, historic announcements, and administrative notices, providing a comprehensive record of school communications distributed to students, parents, and staff over the seven-year period."
"What key information is provided in the ""About This Archive"" section of the Communication Archive?","The ""About This Archive"" section explains that ABC International School, Powai, Mumbai is a CBSE-affiliated co-educational institution established in 2004, located in Hiranandani Gardens, Powai, Maharashtra – 400076. The school serves more than 3,200 students from Grades 1 to 12 and offers Science, Commerce, Humanities, and Vocational Studies. The Communication Archive has been created to preserve the official history of school governance, policy evolution, institutional announcements, emergency responses, and parent engagement. It is maintained by the Office of the Principal and Administration Department, reviewed annually, and classified as Confidential – Internal & Parent Community Use Only. "
